[8/13/17, 10:01:38 AM] Divya: Em dng
[4/25/18, 12:05:24 AM] Divya: Hmm
[5/6/18, 1:02:21 PM] Tejaswini: Pabbi I will cal u papa
[5/6/18, 1:02:27 PM] Tejaswini: I got call from college
[5/6/18, 1:11:16 PM] Divya: Kk
[5/8/18, 1:01:29 AM] Divya: Dany mrg
[5/8/18, 6:25:24 AM] Tejaswini: Wow
[5/8/18, 6:25:39 AM] Tejaswini: Dany pelli na evaritho
[5/8/18, 8:33:50 AM] Divya: Peach colour half saree
[5/8/18, 8:34:53 AM] Tejaswini: Ohh avna
[5/8/18, 8:34:58 AM] Tejaswini: Lucky gal
[5/8/18, 8:35:08 AM] Tejaswini: How do I know papa
[5/8/18, 9:03:05 AM] Divya: U mean me
[5/8/18, 9:07:27 AM] Tejaswini: Yes
[5/8/18, 9:07:30 AM] Tejaswini: U
[5/8/18, 10:10:54 AM] Divya: Saw in FB
[5/8/18, 10:42:43 AM] Divya: Hmm...thanu kadhe bride
[5/8/18, 10:43:04 AM] Divya: Thanu Dany sister anukunta
[5/8/18, 10:50:42 AM] Tejaswini: Ya true naku endhuko doubt
[5/8/18, 10:50:59 AM] Divya: Hmm
[5/8/18, 10:52:42 AM] Tejaswini: Ohh
[5/8/18, 10:52:57 AM] Tejaswini: Sadika phat aaa aythey
[5/8/18, 11:28:21 AM] Divya: Haaa
[5/11/18, 7:11:05 AM] Tejaswini: Adhem combination ye babu
[5/11/18, 7:12:33 AM] Tejaswini: What happend to him
[5/11/18, 7:44:22 AM] Divya: Adhe kadha
[5/11/18, 7:46:14 AM] Tejaswini: Entey asal entey asale bagunde abhayilu thakkuva malli elanti amayilanu cheskunte elane babu
[5/11/18, 7:46:39 AM] Tejaswini: No offense amayi medha but he deserves better gals
[5/11/18, 8:49:58 AM] Divya: Hmm...kala unna bavunnu
[5/11/18, 8:50:17 AM] Divya: Edo reason untadhi behind the marriage
[5/11/18, 2:23:16 PM] Divya: Frankly speaking i expected the gorgeous 👰 bride
[5/11/18, 2:23:46 PM] Divya: Sadhika ki punch padela untadhi anukunna
[5/15/18, 1:39:45 PM] Divya: Hii
[5/23/18, 8:29:22 AM] Divya: Hiii
[5/23/18, 10:02:25 AM] Tejaswini: Sanaga ayyade
[5/23/18, 10:02:40 AM] Tejaswini: Happy for them
[5/23/18, 10:02:57 AM] Tejaswini: Aa pillakosame putinchinattunadu
[5/23/18, 10:16:57 AM] Divya: Haa... Their profile pics are lyk post wedding photographies..
[5/25/18, 1:53:23 PM] Divya: Happy birthday vamsi🎉🎊
[5/25/18, 1:53:31 PM] Divya: Convey my wishes
[6/1/18, 11:12:28 AM] Divya: Chinnodiki dinner pedthunna
[6/1/18, 11:12:33 AM] Divya: Will call u later
[6/1/18, 1:45:52 PM] Tejaswini: In office
[6/1/18, 1:45:54 PM] Tejaswini: Papa
[6/2/18, 12:37:34 AM] Divya: K
[6/3/18, 1:38:55 PM] Tejaswini: Papa der
[6/3/18, 2:08:40 PM] Divya: Yaa...papa
[6/3/18, 2:08:43 PM] Divya: Wat dng
[6/4/18, 6:43:32 AM] Divya: Naa kodukulu chudu.. Lovers aipoyaru
[6/4/18, 6:43:34 AM] Divya: 😜😜
[6/6/18, 11:05:43 AM] Tejaswini: Divya I will cal around 8.30 k na
[6/6/18, 11:05:57 AM] Tejaswini: I mean inko 20 min lo
[6/6/18, 11:06:16 AM] Divya: Ok
[6/24/18, 1:29:43 PM] Divya: Der
[6/24/18, 1:30:13 PM] Tejaswini: Ya pabbi
[6/24/18, 1:30:25 PM] Divya: Busy ahh
[6/24/18, 1:30:32 PM] Tejaswini: No
[6/24/18, 2:27:42 PM] Divya: Haa..chusa
[6/24/18, 2:27:53 PM] Divya: She became chubby
[6/24/18, 2:28:01 PM] Tejaswini: Yaaa
[6/24/18, 2:29:24 PM] Tejaswini: Chala change anipisthondi kadha
[6/24/18, 2:29:30 PM] Divya: Yaaa
[6/24/18, 2:42:38 PM] Tejaswini: Super undhe ekada dhorikindi
[6/24/18, 2:42:49 PM] Divya: Fb lo
[6/24/18, 2:43:02 PM] Tejaswini: Whose fb
[6/24/18, 2:43:07 PM] Divya: Mine
[6/24/18, 2:43:14 PM] Tejaswini: Wow
[6/24/18, 2:43:20 PM] Tejaswini: Inkemana unnaya
[6/24/18, 2:43:23 PM] Divya: I had our tour pics
[6/24/18, 2:43:24 PM] Divya: Ha
[6/24/18, 2:46:32 PM] Tejaswini: Ravi pics leva 😝
[6/24/18, 2:46:38 PM] Divya: Leve
[6/24/18, 9:49:51 PM] Tejaswini: Seriously papam ye I think that guys is from very gud family
[6/24/18, 9:50:28 PM] Divya: Yaa...his father is well educated
[6/24/18, 9:51:04 PM] Tejaswini: Adhey kadha
[6/29/18, 3:04:33 AM] Divya: Hmm
[7/1/18, 2:48:08 AM] Tejaswini: Who is that luking scary
[7/1/18, 2:48:31 AM] Tejaswini: Siddarth yedida?
[7/1/18, 2:52:24 AM] Divya: Yessss
[7/1/18, 1:59:43 PM] Tejaswini: Entey babu
[7/1/18, 1:59:52 PM] Tejaswini: Vaadu vaadu makeup
[7/1/18, 2:00:09 PM] Divya: Galij unnadu
[7/1/18, 2:00:18 PM] Divya: See his expression
[7/1/18, 2:00:25 PM] Divya: Didn't change at all
[7/1/18, 2:18:50 PM] Tejaswini: Exactly
[7/1/18, 2:19:04 PM] Tejaswini: Dhaniki addition ga kajal ente babu
[7/1/18, 2:19:26 PM] Divya: Hmm... Brahmins kadha emanna acharam emo
[7/1/18, 2:19:34 PM] Tejaswini: Vaadini chisthuntey movie lo villan guthosthunadu
[7/1/18, 2:20:00 PM] Tejaswini: Aa pilla us abhayi ani kakruthi padinatundhi
[7/1/18, 2:20:18 PM] Divya: Villans are looking smart these days
[7/1/18, 2:20:27 PM] Divya: Comedian la unnadu
[7/1/18, 2:20:38 PM] Divya: Haa.. adhe anukunta
[7/1/18, 2:21:32 PM] Tejaswini: Kaadhey okadu laavuga pulla notlo pettukoni lakshmi movie lo galiz saale antu untadu chudu vaadila unnade
[7/1/18, 2:22:27 PM] Tejaswini: Yes
[7/1/18, 2:22:49 PM] Divya: Nammav asala mrng nenu adhe anukunna
[7/1/18, 2:23:00 PM] Tejaswini: Hahah 😂😂
[7/1/18, 2:23:04 PM] Divya: Andhuke nuv anna ventane catch chesanu
[7/1/18, 2:23:15 PM] Tejaswini: Adhe kadha dame
[7/1/18, 2:23:43 PM] Tejaswini: E danni ki aa pillaku veelaku kallu ekada poyaye
[7/1/18, 2:25:17 PM] Divya: Hmm...prema guddidhe
[7/1/18, 2:25:51 PM] Divya: Aina vaadu full settled kadha foreign lo
[7/1/18, 2:32:42 PM] Tejaswini: Em full settler ye babu
[7/1/18, 2:32:54 PM] Tejaswini: Normal h1b undi and fulltime that’s it
[7/1/18, 2:33:06 PM] Divya: Hmm
[7/1/18, 2:33:09 PM] Tejaswini: Normal settled just like others
[7/1/18, 2:33:27 PM] Divya: Hmm... ippudu adhe better option la undhi
[7/1/18, 2:33:45 PM] Divya: India lo chala kastam ga undhi..projects leka
[7/1/18, 2:33:54 PM] Tejaswini: Avna
[7/1/18, 2:34:22 PM] Divya: Core job aithe parledhu kani software vallu pedha biscuit avthunnaru chala mandhi
[7/4/18, 12:11:47 AM] Divya: Hii da
[7/4/18, 2:06:46 AM] Tejaswini: Papa
[7/4/18, 2:06:50 AM] Tejaswini: Hw r u
[7/4/18, 2:09:12 AM] Divya: Fyn ya
[7/4/18, 2:09:21 AM] Divya: Nuv ela unnav
[7/4/18, 2:13:05 AM] Tejaswini: 5ne papa
[7/13/18, 2:22:20 AM] Divya: Hii da
[7/13/18, 2:22:25 AM] Divya: Der
[7/13/18, 11:23:07 AM] Divya: Kfc in kkd
[7/13/18, 11:47:11 AM] Tejaswini: Which restaurant is that
[7/13/18, 12:43:22 PM] Divya: Kfc
[7/14/18, 10:10:06 AM] Divya: Hii ye
[7/14/18, 10:10:08 AM] Divya: Der??
[7/14/18, 10:10:38 AM] Divya: Antique jewellery 1 gram vi.. Unde online site telusa
[7/16/18, 12:19:36 PM] Divya: Eh type kavale
[7/16/18, 1:47:58 PM] Tejaswini: 1st one
[7/16/18, 10:44:18 PM] Divya: Naadhi idhi
[7/16/18, 10:48:04 PM] Tejaswini: Em typ of cloth adhi
[7/16/18, 10:48:13 PM] Divya: Organza ne
[7/16/18, 10:48:33 PM] Divya: Folds valla ala undhi
[7/16/18, 10:48:37 PM] Tejaswini: Paina manushi veskoindedhi
[7/16/18, 10:49:34 PM] Divya: Adhi orgganza ne.. Organza lo types unnayi anukunta Organza silk,organza net, organza lenin ala
[7/16/18, 11:43:32 PM] Tejaswini: Ohh ok got it
[7/16/18, 11:45:05 PM] Tejaswini: Adhi silk organza anta
[7/16/18, 11:45:14 PM] Divya: Haaa
[7/16/18, 11:45:22 PM] Divya: Naadhi lenin
[7/16/18, 11:51:12 PM] Tejaswini: Ohhh ok got it
[7/19/18, 3:34:28 AM] Divya: Omg... Pradeep machiraju is the wild card entry in bb
[7/19/18, 7:52:05 AM] Divya: Sry as guest anta
[7/21/18, 12:25:50 AM] Divya: Wat dng
[7/21/18, 12:27:34 AM] Tejaswini: Kaali papa
[7/21/18, 12:27:38 AM] Tejaswini: Tv chusthuna
[7/22/18, 11:34:21 PM] Divya: Itla ochaye cupboards
[7/22/18, 11:54:22 PM] Tejaswini: Frank review evala
[7/22/18, 11:54:31 PM] Tejaswini: Fake review like others evala
[7/22/18, 11:54:34 PM] Tejaswini: 😝😝😝
[7/23/18, 12:23:52 AM] Divya: ‎This message was deleted.
[7/23/18, 12:24:11 AM] Divya: ‎This message was deleted.
[7/23/18, 12:57:44 AM] Divya: Asala review ne odhu... Maaku nachi cheyinchukunnam
[7/23/18, 1:25:52 AM] Tejaswini: No kitchen was too gud papa it was Juz like the one I saw in pics 😂😂
[7/23/18, 1:36:38 AM] Divya: OhhhI thought you didn't lyk..Andhuke cheppadhu anna😜😜
[7/23/18, 2:01:42 AM] Tejaswini: I know andhuke ala Start chesa😝 no it’s really too gud
[7/23/18, 2:42:05 AM] Divya: Padukoledhaaa
[7/23/18, 2:42:07 AM] Divya: Inkanu
[7/23/18, 4:01:05 AM] Divya: https://youtu.be/dhxO8UHVkcA
[7/23/18, 9:53:10 AM] Tejaswini: Ya chusa ninna nyt
[7/23/18, 10:06:50 AM] Divya: Ohh...nene miss ayyana
[7/24/18, 9:25:12 AM] Divya: See how easily kids get addicted to fast foods
[7/24/18, 10:20:11 AM] Tejaswini: Xactly papa wait I will send one video it tells more abt it
[7/24/18, 10:48:14 AM] Divya: Yaa...i saw this
[7/25/18, 1:54:45 PM] Tejaswini: Hammaya ekada bhane unnaru babu
[8/5/18, 1:03:31 AM] Divya: Happy friendship day
[8/14/18, 1:57:38 AM] Divya: Hii
[8/24/18, 4:53:12 AM] Tejaswini: Pabbi u dint wish me ☺️☺️😌😌
[8/24/18, 4:55:32 AM] Divya: U know...i was just about to message u
[9/6/18, 1:33:50 PM] Tejaswini: Pabbi der
[9/6/18, 11:03:04 PM] Divya: Hii ye
[9/7/18, 12:07:19 PM] Tejaswini: Papa der
[9/8/18, 1:11:13 AM] Divya: Back to home ahh
[9/9/18, 1:30:03 PM] Divya: Der
[9/9/18, 1:38:01 PM] Tejaswini: Pabbi
[9/9/18, 1:38:11 PM] Tejaswini: Der But came to saw appartments
[9/9/18, 2:17:11 PM] Divya: Ohh.. kk
[9/9/18, 2:17:18 PM] Divya: Catch u later
[9/10/18, 10:01:46 AM] Tejaswini: Papa der
[9/10/18, 10:02:02 AM] Divya: Haaa...
[9/10/18, 10:02:09 AM] Divya: Bayata unna
[9/10/18, 10:02:16 AM] Divya: Will cal in few mins
[9/10/18, 10:02:42 AM] Tejaswini: K papa
[9/11/18, 7:13:56 AM] Divya: Der??
[9/16/18, 1:44:52 PM] Tejaswini: Pabbi der
[9/20/18, 4:52:34 AM] Divya: Papa der
[9/23/18, 9:33:01 AM] Tejaswini: Super awsme undi pabbi
[9/23/18, 9:33:08 AM] Tejaswini: House interiors anni
[9/23/18, 9:33:30 AM] Tejaswini: I don’t expect mari entha bhaga vasthondi ani I was really good
